B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
5/8/68,8/25/11,,28.15,82.53,4.4,NSC,Rolpa
5/10/68,8/27/11,,26.94,86.6,5,NSC,Udayapur
6/1/68,9/18/11,,27.78,88.32,6.8,NSC,Taplejung-Sikkim Border
6/14/68,10/1/11,,30.16,81.81,4.7,NSC,Humla
6/15/68,10/2/11,,29.55,81.68,4.2,NSC,Bajura
7/18/68,11/4/11,,28.34,83.66,4,NSC,Parbat
7/22/68,11/8/11,,27.94,85.55,4.1,NSC,Sindhupalchowk
7/27/68,11/13/11,,28.2,84.93,5,NSC,Gorkha
8/3/68,11/19/11,,27.7,86.1,4.1,NSC,Dolakha
8/7/68,11/23/11,,28.91,81.68,4.2,NSC,Dailekh
8/16/68,12/2/11,,28.05,85.34,4.2,NSC,Rasuwa
8/22/68,12/8/11,17:40,27.97,82.86,4,NSC,Pyuthan
8/23/68,12/9/11,22:57,27.83,88.13,4.2,NSC,Taplejung
8/28/68,12/14/11,20:20,27.72,88.09,4.9,NSC,Taplejung
9/3/68,12/18/11,21:35,27.73,88.16,4.6,NSC,Taplejung
9/15/68,12/30/11,2:10,29.62,81.53,4,NSC,Bajura
9/27/68,1/11/12,8:59,28.89,81.89,4.2,NSC,Dailekh
10/4/68,1/18/12,11:16,26.63,86.4,4.5,NSC,Siraha
10/5/68,1/19/12,0:46,29.73,81.91,4.6,NSC,Humla
10/10/68,1/24/12,4:07,26.84,86.43,4,NSC,Siraha
10/22/68,2/5/12,20:06,27.25,88.07,4,,Panchthar
11/2/68,2/14/12,13:41,27.38,88.11,4.5,NSC,Taplejung-Sikkim Border
11/2/68,2/14/12,13:48,27.33,88.03,4.4,NSC,Taplejung
11/14/68,2/26/12,22:56,29.71,81.02,4.4,NSC,Bajhang-Darchula border
11/14/68,2/26/12,23:08,29.86,81.05,4.9,NSC,Bajhang-Darchula border
12/6/68,3/19/12,20:36,28.7,82.02,4.7,,Karkigaun-Jajarkot
12/14/68,3/27/12,23:40,26.12,87.87,5.2,NSC,Jhapa-India Border Region
12/29/68,4/11/12,2:52,29.55,81.24,4.3,NSC/RSC,Bajhang
1/5/69,4/17/12,23:13,28.5,82.06,4.2,NSC/RSC,Salyan
2/17/69,5/30/12,9:34,27.31,87.88,4.2,NSC,Taplejung
2/27/69,6/9/12,7:54,28.32,84.17,5.1,NSC,Kaski
2069-2-29,6/11/12,4:35,27.25,88,4.5,NSC,Panchthar - Sikkim border
3/1/69,6/15/12,16:15,28.99,81.58,4.2,NSC,Dailekh
3/17/69,7/1/12,7:54,27.27,88.05,4,NSC,Panchthar - Sikkim border
3/27/69,7/11/12,17:23,29.43,81.03,4.9,NSC,Southern Bajhang
4/13/69,7/28/12,5:48,30.12,80.54,5,NSC/RSC,India (close to Darchula)
4/16/69,7/31/12,12:05,28.55,82.37,4.2,NSC/RSC,Southern Rukum
4/16/69,7/31/12,11:50,28.58,82.48,5,NSC/RSC,Southern Rukum
4/16/69,7/31/12,11:58,28.53,82.42,4.8,NSC/RSC,Southern Rukum
4/22/69,8/6/12,1:53,27.77,88.13,4.2,NSC,Northern Taplejung
5/7/69,8/23/12,16:30,28.38,82.84,5.6,NSC/RSC,Rolpa - Rukum border region
5/7/69,8/23/12,16:42,28.39,82.73,4.4,NSC/RSC,Rolpa
5/8/69,8/24/12,0:17,28.38,82.66,4.4,NSC/RSC,Rolpa
5/8/69,8/24/12,3:55,28.42,82.75,5.2,NSC/RSC,Rolpa-Rukum border region
5/12/69,8/28/12,8:31,28.73,81.81,4.4,NSC/RSC,Southeastern Dailekh 
5/13/69,8/29/12,19:54,28.4,82.79,4.3,NSC/RSC,Northern Rolpa
5/14/69,8/30/12,14:11,28.61,82.43,4.5,NSC/RSC,Southern Rukum
6/1/69,9/17/12,9:45,28.59,82.41,4.4,NSC/RSC,Southern Rukum
7/6/69,10/22/12,6:56,27.95,87.86,4.5,NSC,Around Kanchanjunga
7/26/69,11/11/12,18:39,29.51,81.13,5.6,NSC/RSC,Southern Bajhang
7/27/69,11/12/12,12:42,29.55,81.31,4.5,NSC,Bajhang
8/19/69,12/4/12,3:01,28.88,82.34,4,NSC,North East Jajarkot
9/7/69,12/22/12,6:05,28.27,82.84,4.5,NSC,Rolpa and Pyuthan border
9/18/69,1/2/13,17:42,29.41,81,4.7,NSC/RSC,Bajhang and Doti border
9/25/69,1/9/13,7:44,29.82,81.7,5.5,NSC/RSC,Northern part of Bajura
9/29/69,1/13/13,17:35,26.84,86.22,4,NSC,Siraha
10/5/69,1/18/13,20:59,29.48,81.26,4.5,NSC,Bajhang
10/25/69,2/7/13,1:08,29.42,81.05,4,NSC,Bajhang
11/11/69,2/22/13,2:41,28.39,83.18,4.1,NSC,Baglung
11/23/69,3/6/13,16:49,28.57,82.27,5.4,NSC,Rukum
12/4/69,3/17/13,11:59,26.74,86.08,4.2,NSC,Dhanusha
1/15/70,4/28/13,18:28,29.87,81.26,4.9,NSC,Northern Bajhang
1/31/70,5/14/13,3:18,29.68,82,4.4,NSC,Mugu
1/31/70,5/14/13,3:13,29.56,82,4.3,NSC,Mugu
1/31/70,5/14/13,9:59,29.65,81.98,4.5,NSC/RSC,Western Mugu
2/12/70,5/26/13,17:38,27.72,85.91,4.2,NSC,Sindhupalchowk
